tweet_id,tweet_text
845394863134670848,RT @HannahMemories1: This was not only catchy but helpful on my school days #11YearsOfHannahMontana https://t.co/Hd9FRilrAZ
845394862723813377,"RT @Amour_essie: To argue w me is $250 posting subs $150 to fight me $800.   Now due to the fact that u bitches is broke there shouldn't be…"
845394863126429697,@iztopher THANK YOU!!!! this means a lot to me thank you 💗💗💗
845394863113682944,Good morning~ Anything happen while I was gone?
845394863134834689,RT @Kristy_Dshayla: I just did this 🤦🏽‍♀️😂 https://t.co/37MSBlf83B
845394863570980865,I was throwing ball for my dog. But if he runs too much he hurts. But pup got some running in grabbed ahold of his tail in process
845394863533277185,"RT @DisneyChannel: Pass the tissues, PLEASE!!! 😢#LivAndMaddie"
845394863143239682,RT @RapGodPatRon: Some people be so full of shit.
845394863537446912,@CNOTEZ yo what size on you? Dude on letgo has some decent sneakers for crazy cheap. Some oldies too.
845394862732013569,"Congrats, you bought #EssentialOils! Next step, learn how to use them on at my next Facebook Class.… https://t.co/liasQXQ3c2"
845394863960965120,I should quit doing that 🤔🤔
845394863977848834,RT @Inchsection: WE LOADING IN A HOUR DONT PANIC ITS ONLY A SOUNDCHECK https://t.co/DfH1wwNdpl
845394864409907200,With time under our belts we can speak to what does and doesn't work in #designthinking implementation—Read: https://t.co/UK2tI5FA4b #design
845394864397258752,RT @meganodriscll: 100% of dogs say they haven't benefitted from owner cleaning the fish tank https://t.co/eOZxJzHZZH
845394865244553218,"RT @GeorgeVCook: Sorry but, on a programme where kids are starving, why is there a whole mountain full of biscuits for a pointless competit…"
845394864791588866,RT @Marvel: Straight-A super hero. #SpiderManHomecoming https://t.co/iPxVmOu4Gq
845394865215193088,She didnt like the Bentley so I bought that hoe a ghost
845394865651363840,"RT @KlothingCo: Double Strapped Choker With Rectangle Rhinestone Pendant For FREE! 😍  Shop ➵  https://t.co/aepCMObVRN https://t.co/16ZxAxNl…"
845394866062290944,want to join eRa as an editor? you wont have to do shit anyways now is your chance to join!!!!!!!!!!!!!!
845394864791572480,@ShawnJohnson @AndrewDEast You guys are so adorable 😘😘😘😭❤️ I love you both😘 https://t.co/EqzQ7vJAau
845394865638772740,i'm bawling https://t.co/AgGAkhOYg1
845394866062458882,Listen to Dan Brown - Chapter 038 -- https://t.co/8jLrTBbWbn
845394866070794240,@alexroan I know I can't believe he tried to kick Taylor so hard that his leg shattered
845394866066657280,RT @ReaIAaron: All the time 🌚 https://t.co/3N67OEggCy
845394866481909760,RT @ReaIAaron: All the time 🌚 https://t.co/3N67OEggCy
845394866469265408,Who is your best friend? — kara https://t.co/yfB0I9iQzZ
845394866481889280,"⚡️ “The Love Actually remake was worth the wait 🔴”  https://t.co/SMwBKv7bFD"
845394866494459906,RT @SteveKopack: This is a fact. https://t.co/6EflpR91ZN
845394866913841153,"Another hour! It's March 24, 2017 at 07:00PM"
845394866494488576,RT @ReaIAaron: All the time 🌚 https://t.co/3N67OEggCy
845394866909724672,@KalamazooWings Do you know the line up for tonight?
845394866922246144,RT @KaeliRobinson: update: today was great😊 https://t.co/11IiRKuq0m
