tweet_id,tweet_text
847691083072978946,@reyljee ya bawasi na 😌
847691083496554496,"RT @SCP_Films: Duh, silau banget masa depannya Caramel dan Dave! Weekend nih nonton #LondonLoveStory2 lagi yuk https://t.co/76bh4yeQ7u"
847691084356399104,@intanursabrina hari ini jadi supir lagi nah wkwk
847691122109431808,@nindyratusilvia lapo pisan km buat twitter yang? alay
847691131315830787,"RT @pak_daviiddd: @Indomaret Halo kk admin, putriku sngt fans dgn stiker sidomar yg slalu ad dpan pintu indomaret. Dmn y kmi bs dpt stiker…"
847703022008287232,RT @adihariez: Pagi aku terhibur dengan tweet nih.sempoi je aeril balas tweet. https://t.co/axLlqwPdVQ
847703059727736834,babila tak suka betulla new update twitter ni tahu lama dah tapi WTF TUKAR BALIK URGH
847703068154003457,"RT @NetizenTofa: Kata @muhammadiyah, Polisi tidak Sehat Tangkap Penggerak Aksi 313 https://t.co/V4uXie98YX"
847703068124749827,"RT @NajibRazak: Berbual dgn Mohd Azrin, pegawai kedutaan Msia di Korea Utr yg slmt tiba di Msia pg tadi brsama 8 yg lain. Alhamduli… "
847703072331636742,"RT @LintangChrezL: @GunKidFor2 @emilarogan86 @jakartaotr @Hit_DX @gunawanahokers @NenengKafir @Ivanita_s @AgusPerdanaK kerjanya ya ter… "
847703084897718273,RT @PLAYMFS: #pltl followan? rt jfb @aijiminbts
847703089108836352,"@BADJennie96 @BADKJS95 Hujan kuah   Pas bagian desah"
847703101700055041,"Tiba di BNN, Ridho Rhoma Jalani Tes Darah dan Rambut: https://t.co/oVTeTRmRM3 via @YouTube"
847691155252715521,"RT @joxzin_jogja: 18. Dlm masyarakat yg majemuk, penggunaan agama dalam momen elektoral dan politik praktis, seperti ibarat membakar jerami…"
847691159006658562,"KorsIet Baik, Interaksi selanjutnya akan diinformasikan via DM. Terima kasih :) -Vero"
847691161087102976,"RT @Keindahan_Surga: Jadi basah memekQu lihat bokep ini 👇 https://t.co/pzYodWru6m"
847691164480266240,RT @joxzin_jogja: 19. Syahwat menjadikan agama sbg komoditas politik bukan hanya di partai politik berlabelkan agama tapi juga di lembaga2…
847691172847828992,@haneul93xx sepi gara gara nuna fix .g
847691184998830080,"RT @syamirasapri: Jangan tak tahu, pad pun dah hipster sekarang 😌☝🏻 https://t.co/3aQhmlggLv"
847691185862852608,"RT @_AmranFanz: Pernah tak hangpa dengar: -Kalau bayaq pakai kad, ada caj 10% bos! -Boleh bayaq pakai kad kalau RM50 ke atas bos! Boleh ke?…"
847691186252926976,Ya Allah mampukanlah diri kami untuk mengendalikannya  - #regrann https://t.co/WdvIwx6PpA
847691187947397120,Satu lagi riset yang membuktikan kelebihan video ketimbang konten digital lainnya. Kali ini dari Facebook..... https://t.co/9XsRLVTjZr
847691188802945026,@oohseyhun siang sepid oppa
847703139448889344,"Telkomsel: devigurihcuy1 Tidak bisa, layanan ini tidak tersedia untuk gadget dengan Sistem Operasi WindowsPhone. -INA"
847703143630512128,"RT @yowessory: Sederhanane bahagia; ketika panganan seng ra mbok senengi dadi enak rasane dipangan, pas mangane bareng de'e."
847691199267749890,"RT @detikcom: Hooters, restoran dengan pelayan seksi beromzet triliunan rupiah. Apa kelebihan dari resto lain? via @detikfinance https://t.…"
847691201788518401,RT @RCHANNEL_: (cont.) data pelaku yang berpotensi sebagai tersangka penyerangan tersebut.
847691202199564289,"@republikaonline  Ranah POLRI Jgn di Intervensi siapapun,krn POLRI Wajib-Wajar Antisipasi segala hal,keamanan Negara & Publik,itu Tugasnya !"
847703202338267138,@DhesyM Uuuu dasar
847691206809092099,"pilih aku atau dia, dan lupakan aku segera https://t.co/RDrcCAbSua"
847703244306436096,"RT @SyaripHidayatha: Bntr lg ke jkat  #KapanRilisSingleRaflyda3"
847691248328556545,@syfqh_mhd Sbb ak tngu org lain ..hahaha
847691250434101249,Di ksh kebebasan mala kelewat batas...
847703286245277697,@cukurclosed Adminim.. saya ga punya foto chara keliatan ketek 😫
847703290443735040,"RT @officialachey: Bila makin besar ni, dah boleh tahu dah macam mana susahnya parents kita cari duit . Sbb tu selalu rasa bersalah each ti…"
847703298807275520,Kapan kita bisa bahagia bareng? :(
847703311419453441,@AsyrafRusmizam rasa apa tu up ? 😏
847703340750299136,@Pykah_Myera Awak gebus😍😍 saya kelabu hahahhaha
847691266389229573,"@Ruchan_JKT48 Siang iyuthchu ><  Itu jaketnya d pake ke sekolah,lucuk betul aakkkhh"
847703353366765568,"AlivaNurRosyid Siang, mrngenai informasi kuota super murah, infokan nomor via DM agar dibantu cek dan kerahasiaan data terjaga :) -Kenny"
847703370106150912,"RT @i_ridhuan: Khas untuk students yang takda duit. Boleh pakat ramai2 buat macam ni  Hahahahahahahah 😂 https://t.co/b5c32N5Mub"
847703374304755712,lelang acc ini
847691274786226177,"@blanketkickz   - cukup beliin richeese sama order pizza yang medium aja cukup"" sambil memeluk bantal sofa yang ada di paha nya."
847703395284557826,Sabar jelah apa boleh buat kan. Nak cakap nanti lain jadinya haih
847691276874956800,@carlosmunoz567 Ya sin joder
847703403689947136,"RT @kitaorangbaik: Guys sy baru menghanguskan 2 ticket Coldplay Singapore 31March! Krn sy lebih memilih ikut #Aksi313 di Jkt! Demi Qur… "
847691281467822080,Cam xde function jee dpt followback dia 😏😏😏😏😏
847691281895636992,@aimiiwahida Dah bukak eh kafe hipstur tu 😂😂
847691290305101824,"Dress Najwa ungu...  Seperti Taro/Talas Jogja scrummynya dude harlino. Soft bangetttttt 😘😘😘 https://t.co/tdkDNLklVh"
847691292804997121,"Kartin1 Siap Diluncurkan Malam Ini  https://t.co/X22UjyEy0J"
847691297821409280,"Menurut orang2 mungkin sepele, tp toh kalo gue gasuka, ya gasuka aja. Dasar kaum neo-liberal. Lah gue mah Epicureanist, bebas."
847691302053400577,Maxi Yamaha Tanda Kesuksesan Eksekutif Muda Indonesia https://t.co/Y7bSHAG7f0
847691308344922114,RT @uthmtroll: dah namanya cuti sem https://t.co/zdXmoyhUxS
847691136344797185,"RT @Gaya_Trie_Gaya: Jgn di copot jilbabnya mbak biar Naik daun 🌿  https://t.co/ixBWbzEhkJ"
847691309590626305,@_chanyolot Eihhh apa sih /tendang lu/ gaje lu yak -___-
847691313344421889,RT @ManikLalabuci: @ainkhadir @haaziq_mz sebab tu sunat fokus pada satu spot semasa solat. Supaya rukuk dan sujud mata focus in and out unt…
847703420475658240,@embah72 bukan lapar.....saking bodohnya itu...makanya gagal alias di pecat.
847703424640483330,RT @maspiyuuu: Pimpinan Aksi 313 Ditangkap atas Tuduhan Makar; Katanya Demokratis.... https://t.co/VOs0j0ddmW https://t.co/ooqdarru0j
847691144318173184,Thanks @Samsung_ID buat Kenny Rogers nya! Baru aja dapat di #SamsungGiftId https://t.co/8XR2m1eBmb #EverydayGifts
847703458211745794,Dulu kalo marahan pasti guenya yang bawel. Sekarang kok jadi diem gini yaㅡ
847691328053956608,"@KalamSenja <<< @LintangChrezL @gunawanahokers @ninjutx @1005Putra @Grand_Light88 maaf ya. Om hanya tahu bahasa binatang. Uda dulu ye"
847703487546707974,"RT @BundaAditya12: @DA3_Rafly Buruan atu de ke jkt mah,, bunda udh kangen bngt tauuuuu 😁😁😁"
847703491778723840,Manyak ka leche
847703504332312576,HyoBora again for Munsoo Kwon please...:))
847691172831154177,Allahu https://t.co/wQs66bymh2
847691351957295105,@nisakhamrin baru lpas exam kan.
847691356969476096,Win a Samsung Galaxy S8! https://t.co/OtLSaleHeN
847691180397674496,"RT @GunRomli: Ini Gatot Saptono alias M Al-Khotot, Alsi 313 & kaitannya dgn Anies-Sandi https://t.co/0khjLb2opn"
847691361176363008,@MFMiraFilzah Haiii awakkk  Selamat petang dan slmt berehat 😘😘😍😍💜🍓🌹🍇🍑🌷🌸
847691185833467905,@daniasofiya Aku rasa cam kurang 😭
