tweet_id,tweet_text
836257374553923585,Solo? 😲 Lo facevo più vecchio... 😆 https://t.co/K5VATMat2M
836257395521245184,@sidhuwrites OMG!!! idellam romba over da dei!!!😭
836257517164445698,"Milano, nell'Area C con Sms: c'è il videotutorial  (La Repubblica) https://t.co/iT5M2gC0BX https://t.co/L1k43mbDO2"
836257546507804676,📷 Philosophy di Lorenzo Serafini Fall 2017 https://t.co/cP0tFyRzVw
836257689139359745,@marirossi68 scrivimi in privato
836257726875381761,Cinco mil 272  KCA #KCAEstrellaLatina #PatyCantu
836257768814313474,RT @IurillinoCucci: Verità https://t.co/fkGlk3lUcF
836257777194520576,"Un olio essenziale,per ogni vostra esigenza!!!"
836257882052100098,"MASTER UNIFE IN DIDATTICA, EDUCAZIONE E MEDIAZIONE NEI MUSEI E NEL PATRIMONIO CULTURALE Sono aperte le iscrizioni... https://t.co/ZIVn8G85n5"
836257894643417090,"@xkatie_chb «devo andare alla cabina di Ermes a prendere un paio di scarpette» sentenziò affondando nuovamente il cucchiaio nel gelato. -"
836257894635024385,"Guarda #SoldOut, il nuovo video dei Thegiornalisti:  https://t.co/OJt413U6ps  CaroselloRec https://t.co/bs4HSRBzu0"
836257894643412994,@aishakhaan313 Hahahahahahahahhaahahahhahahahahahahahahaahahhahahaa thank you pretty girl 😘
836257970136748033,"10,ovvio un bel sonnellino 💋 — Haha tuu💋 https://t.co/vUFdyFwbE4"
836257995294195712,Se fosse vero sarebbe un comportamento patetico da minorato mentale e disonesti...spero sia una bufala https://t.co/JQijtLGQhF
836258137925685248,@Brasviz1 @MauroT57 @FedeAngeli il numero magico è sempre il solito: 26.000.000.000.000. Il resto è fuffa
836258163087245312,@hiudetemilaudio da lunedì prossimo dai
836258221807579136,@queermum oddi o o o o o o o o o o o
836258255370403841,RT @LucaPorcu5: #osteopatiriconosciuti  @BeaLorenzin @EmiliaDeBiasi Per tutelare i professionisti e i cittadini.
836258280536174593,"RT @fevnji: Non t'ama chi amor ti dice t'ama chi guarda e tace  #TheLifeOfBeF https://t.co/33xyQWhlQW"
836258288933158912,Ho giocato al minigioco Gettoni insabbiati su Paradise Island 2 e ho ottenuto 329 punti #ParadiseIsland2 #GameInsight
836258288908009474,Gran Consiglio (#Mussolini) arriva a #Roma il 18 marzo. Per chi ama andare #ateatro e per i veri #fattiditeatro https://t.co/w9pxLKVcIb
836258368595582980,"https://t.co/L4qStUWvgT Moggi Jr e Calciopoli: ""Ho pensato più volte al suicidio"" https://t.co/uJzrIMYc8O"
836258385372844032,"RT @germanadipaolo: Chi accetta ciecamente non ha uno spirito adatto alla ricerca del vero, che ha come presupposto inevitabile, la libertà…"
836258439902937088,Mi viene solo da piangere
836258456701132800,"Mi capita di rispondere due volte allo stesso tweet, dopo aver letto la prima risposta   e non essermi riconosciuto. Chiedo scusa."
836258515421396992,@fabivelasquezc marcenarofiorella fiorella.vergara… https://t.co/uXRg1oBh8r
836258519594729474,RT @Sabseyo: Lo sentite anche voi questo Gianni Morandi vibe ? https://t.co/GaYqqkCqDV
836258624452325376,"#ultimenotizie #news #notizie: Valentino, Naomi, Bruni, Moss e lady Beckham: il ricordo di Franca Sozzani a Milano https://t.co/0K7diz1Eby"
836258767079632896,"RT @michele_bravi: E con umiltà vi ricordo che su @TIM_music potete ascoltare un disco incredibile, eccelso, magnifico: il mio. 👦🏻💿😂… "
836258947434700800,RT @RealBouchra: Buonasera ragazzi! Vi chiedo scusa se sono sparita ma purtroppo ho avuto un po' di problemi e niente...se mi vedrete assen…
836259014530969601,"RT @polasein500cc: ""Stai alleprato, la cosa tanfa, siamo sotto tiro""  Baiocchi Giuseppe, ex pugile  Da ""Audace colpo dei soliti ignoti… "
836259098396086272,"RT @vittoriozucconi: Trump oggi: ""Ho scoperto che riiformare la Sanità è una cosa estremamente complessa"". Lo sapevo che l'America aveva el…"
836259366852517889,"RT @xinyourshadow: @amedemercure a chi lo dici. Alla fine mancano soli 3 giorni, che costa aspettare ?"
836259404597051393,"La danza delle Janare.  Purtroppo ho iniziato a riprendere a rito già iniziato....  Le janare, nella tradizione... https://t.co/Zq3AYieKCV"
836259509463101440,"RT @luisaloffredo28: Le minacce non ci fermeranno https://t.co/blBbjPcBfd via @beppe_grillo Forza #DomenicoMiceli siamo tutti con te! W… "
836258813204398082,Colazione di lavoro @taodueufficiale  #checcozalone #Oscars https://t.co/NcEX7tq7rB
836258892904554496,I capelli mi sono venuti strani uffa
836258955798142976,"Per quanto io mi senta in una situazione miserevole,poi penso a questo,e niente..mi sento già meglio. #figurèMerd https://t.co/tHdJYIawAn"
836259228457259008,"RT @ricosmyle: ""L'amicizia è un milione di piccole cose"" @fedefederossi @Benji_Mascolo  #TheLifeOfBeF https://t.co/esBLaWRuE8"
836259400394358785,@CherylLoveMetal per me ha vinto tutto ridendosela sotto i baffi
836257601042145281,RT @MirasoleCarlo: Riposa in pace....amen. https://t.co/e4Bx1ryZdL
836259165542756352,@solo_dm___ Emma Watson 😂😂 3e essai
836259203253690369,"RT @MarionAngeli: poi ci sono le vere amicizie, quelle che resistono alla distanza, ai periodi vuoti ma quando si rincontrano sono vere com…"
836259278755401729,@HernerAntonella dale 😊😊
836259421386911747,"RT @FedeAngeli: Chi fa di tutta l'erba un fascio è una persona poco intelligente. In Mafia Capitale le ricordo che il PD è ammesso… "
836259496859209728,RT @someonelikeV: Per non dimenticare. #Oscars https://t.co/5tP3qpKrCX
836259597539295236,"#Fisco in #Italia : 738euro in media a caeico di tutti i cittadini, bimbi inclusi, nel 2016 via @Codacons https://t.co/29VBmpZ2LU"
836250592360206343,'Se ti picchia non ti ama' https://t.co/QSEp4WVezR
836250604968243200,"La simpatia di quelli che ti dicono: ""gabbia aperta uccello morto"" quando te ne vai in giro con la patta dei pantaloni aperta."
836250651105591296,@DrakeMoon  affi code: FerCasi
836250651093008384,mediainaf: Tutti #artisti spaziali con #Junocam https://t.co/PdMyhCGyv8 NASAJuno #Giove #citizenscience https://t.co/aXElRPJLgo
836475071506038784,'La notte magica' de @ilvolo a Bologna https://t.co/MRHitNWxEi
836475172198748160,Che tristezza che siete!!
836475407075532800,"#AnimeDiCarta è la storia della mia vita"
836475436423073792,RT @francescacheeks: • ama l'amore non amare me • https://t.co/Q1xLO3avDB
836475637749678080,RT @RPierguidi: che cazzo di nervosismo
836475650311610368,"Weekend a 2 risvolti 1️⃣#Napoli lotterà per il 3o posto e avrà un futuro incerto 2️⃣#Roma lotterà per 1o posto con stadio e futuro vincente"
836475713255583744,Assassinio Kennedy: chi c'è dietro al foulard di Lady Babushka? - https://t.co/3L7KOn1Sdm https://t.co/YNGwse7JhZ
836475717445615616,RT @mante: La richiesta di arresto per i 55 indagati dell'ospedale Loreto mare è stata emessa a ottobre 2015. Il Gip ci ha messo 15 mesi pe…
836475931367735296,"#adinolfi dovrebbe sapere che la sua disabilità mentale è peggiore di tante disabilità fisiche. Vergogna!"
836476002633134081,"Comunque Elodie secondo me tiene salvato Lele sul cellulare come ""Linotreno"" . Appoggiate la mia tesi please"
836476132656558080,@VodafoneIT il 22/2 ho stipulato contratto telefonico per passare alla fibra da ADSL ma non mi è arrivata mail contratto. È normale?
836476203984896000,RT @LaBissa2: Francesca Brianza apre incontro Interreg Italia–Svizzera al Lariofiere https://t.co/FPjK8kQgpU via @labissa2
836476212377694212,RT @Cristin97215062: Oggi qua niente sole....felice martedì dipingendo il 🌞 🌞 a tutti!!☕☕🍰🍓 https://t.co/4qzB4pDjgi
836476313040871425,"#sex #sesso #porn Video orno italiani gratis con troiette che succhiano https://t.co/aYcjiEPSZs #freeporn #megasesso"
836476422101352448,"RT @LaBissa2: Dal superticket all’autonomia il passo, per Maroni, sarebbe breve https://t.co/Zl6T6W4ijQ via @labissa2"
836476505966391296,"RT @NihilScio_: Niente di nuovo, ma si continua come tutto fosse."
836476837320622081,@AlessandroGanc2  stupenda!
836476883445383168,"RT @vittoriozucconi: Ondata di minacce e vandsalimi contro cimiteri, luoghi di culto e organizzazioni ebraiche si allarga. Make America… "
836476925396803585,RIO KWANZA
836476933789601792,"RT @inLOMBARDIA: Buongiorno from Lake Como 💪☕️❤️ #inLombardia Ph mabol https://t.co/O9TgKxPLHI"
836476992514048000,Dali me stalkea
836477109963001857,@_dob_Taeyeong ora è passato però~
836477114157248512,La DECO Group Amicacci battuta dal S.Stefano sul filo di lana #abruzzonews https://t.co/sbSANVXEc0 https://t.co/TPI9QNZvyq
836477135107817473,"RT @brunasaracco: Per chi ha detto no alla #RiformaCostituzionale e ora cavalca la storia dei #vitalizi per risparmiare qualche brici… "
836477298702446592,Teo Teocoli   Tony Dallara - Carta di identita'
836477328054157312,RT @LanfrancoBienti: @f_uccheddu sai che sto imparando a parlare in cinese e per ora ti posso solo salutare 😂😂😂😂😂😂😂 https://t.co/L3xlUrKRig
836477328045789184,RT @MariaLatella: #Lalaland come #Lafebbredelsabatosera?Voglia di leggerezza x finirla con anni cupi? Che ne pensate?#tendenzalatella https…
836477546145452032,"RT films_porno: Fellation Porno #v2porno    🐷 https://t.co/cVSAreCY0r   🐷 https://t.co/4DZ9nHeYHX"
836477558740901888,Ma questa gente bugiarda come la vediamo? #nowords
836477571323805696,"#Venezia Gianni, veneziano, in Svizzera a morire come Fabo. La moglie ""Siamo costetti"" https://t.co/EaPAFdpSyw https://t.co/qgF88r2ayo rt…"
836477600667168769,RT @maurosalza: @pattyantonelli1 ciao patrizia
836477600692326400,RT @FinanzaTrading: 3 azioni con un tasso di crescita a due cifre #qe #bce #innovazione #trading https://t.co/Gc8eSQPQvF https://t.co/l5e6G…
836477642626985984,"RT @TorinoSFT: Portiere e centravanti. Noi li abbiamo parecchio forti. Manca solo la voglia di costruirci qualcosa di bello attorno. Peccat…"
836477688747552768,delusioni olfattive
836477751678943234,"San Martino dall'Argine ha un  cuore grande: dal comune  due camion di aiuti ad Amatrice https://t.co/s7VVlomlom"
836477881710694400,Buongiornooooooo!!!! https://t.co/Ik6b76Iwjt
836477894301921281,Buongiorno!!! Qui piove a dirotto da ieri e allora combattiamo il grigiore con i… https://t.co/0OEzbESqpy
836477911041519617,Lo studio appropriato all’uomo è l’uomo – Alexander Pope https://t.co/UmpzidWZkQ https://t.co/a0mGJP0lT7
836478011721584640,"RT @carmenjaratn: @DavLucia Buona giornata Lucia  cara,  con sole  e  sorrisi  , eun forte abbraccio   felice fine mese  🌈🌹😘grazie https://…"
836478057867259906,"RT @_ELiEclipse: Essere sconosciuti lascia strada a dubbi. Conoscersi non lascia spazio a dubbi. Tenersi è volersi bene. Il resto stronzate."
836478103983554560,@fuckastros sempre
836478124950974464,"RT @duplikey: Eccolo! Il #Nokia3310 è tornato. #mwc17 https://t.co/wMYN00S97U"
836478187894894592,"@MaxGramel Oggi ne ""Il caffè"" ha superato se stesso! Grandioso! ❤️"
836478259189714946,eu sou directionerfobica e lovaticfobica
836478288562425856,Me lasquei
836478305335394304,RT @MimiDiTommaso: se scrivi male sei inconfutabile
836478380841250816,"addetto ortofrutta https://t.co/ha8nQRqXc5 Randstad Italia SpA - Milano - randstad italia spa, per importante realtà ricerchiamo n.1 addet…"
836478393399009281,"#DiStefano #M5S ""Le pensioni parlamentari bloccano il Paese: non si va a votare per far avere le pensioni a questi onorevoli"" #agorarai rt …"
836478393386434560,"RT @Daniele_Manca: Una legge sul fine vita, necessità improrogabile, la  #serietà che non c'è @PierluigiBattis @Corriere https://t.co/hkEDt…"
836478406007074816,"Ricordate? Era inevitabile... prima o poi doveva sedersi accanto a me! Ma io resisto, non gli parlo 🙊 https://t.co/MpBymHWJq5"
836478544393961472,Buongiorno Buongiornooooo 😍eccomi qua 😀buon martedì grasso! Il caffè è pronto insieme ai miei… https://t.co/UPFPVB4Erz
836478569547251712,"Parto cesareo: in Italia è un'epidemia (evitabile) Ecco i dati. https://t.co/NkSpQO5kAV"
836478590552326144,Sai riconoscere le sigle delle serie tv? https://t.co/PGYpVRRir8 https://t.co/B9XIS7vxHA
836478598945116160,Si sono appena concluse le sfilate Milanesi per la prossima stagione A/I che ne pensate di questo look anni '40... https://t.co/uzPTZP46TE
836478598936735744,"RT @karlalalaxx: @LaurenIsChilena @Jeannette_5H @abisj @carito_arayalml @JustinCyrus1d @5HxleryxJB @sassylaurennn (el ship jsjs)… "
836478754100740096,RT @Linkiesta: La storia tragica dell’uomo che non volle salutare Hitler https://t.co/aJRtOBXoOc
836478796060569602,RT @Mispreferidas: PAELLA MIXTA - #recetas https://t.co/hM0Uc8POKm #Mixta
836478900926570496,@ArtemioAntinori la cosa nn va affatto bene.🤔🤔🤔
836478905120862208,RT @ItsFoodPorn: Nutella S'mores Dessert Pizza https://t.co/ZIUr5W8yon
836478955431542785,"RT @regionetoscana: #28febbraio Giornata mondiale per le Malattie rare. A #Siena il convegno della Rete regionale per le Malattie rare… "
