tweet_id,tweet_text
847691127977267201,@gipjam Goede reis
847691153151373314,"Wat een misser van jewelste @zooantwerpen bouwen een muur van 3 m. Weg zicht, weg groene oase! https://t.co/ch6Frd51Or"
847691156490141697,"[INFO] CAT6 S/FTP Netwerkkabel RJ45 (8/8) Male - RJ45 (8/8) Ma.... Nu: €11,65. Bekijk hem in onze webshop: https://t.co/d5UtXWAdsf"
847691177042132992,RT @landschapnh: Heb je een goed vrijwilligersproject? Dien een aanvraag in! € 45.000 beschikbaar. #Betrekkenbijgroen @ProvincieNH https://…
847691200945467392,"#nieuwstwitter In beeld: het zeer succesvolle transferbeleid van Monchi en Sevilla https://t.co/Tg1gDftvUj #voetbal"
847691203881558017,RT @PBSZ: PBSZ blijft eredivisionist! Na het afmelden van BS Katwijk mag @PBSZ zich toch nog opmaken voor een jaar op het hoogste strandniv…
847691208512094209,"#voetbal Go Ahead Eagles zegt contracten aanvoerder en zes medespelers op https://t.co/pc15I6W6rK #nieuwstwitter"
847703361734361088,RT @gesani_: Ik blijf gewoon hopen datk je nooit meer tegenkom
847691302460284931,Goedemorgen Nederland! Doe vandaag waar je goed in bent en maak er een mooie dag van. #bijnaweekend
847691380465913857,Jaarverslag #SCEZ 2016: Erfgoed in beweging. https://t.co/K1g1hPPWwv https://t.co/g7zemg21hK
847691205571891201,"RT @bram_reinders: Dit is de #Camorra van de fossiele brandstoffen, dit moet per direct achter de tralies @GroenLiesbeth @Het_OM , ja dus o…"
847691211431268352,"#nieuwstwitter In beeld: het zeer succesvolle transferbeleid van Monchi en Sevilla https://t.co/YPgmfPcYea #voetbal"
847691689149911040,"@Christalhelder ...sorry, beetje druk met Pasen. #jeweet @thuisbezorgd"
847691912718843904,RT @mohamedafiq_: finger lift challenge HAHAHA 😂 https://t.co/gPk3DRjR0F
847691713057497088,MEU MARK SLOAN
847691716844965888,"Kisses X Elisse  KISSES MinuteKweenWinIt https://t.co/SHJFyYZPrh"
847691784373149696,Alweer. Waarom niet praten ipv staken @delijn Misbruik stakingsrecht https://t.co/UuWwDSO8N5
847691786071851010,@DanielTermont ben het eens met Veli Yüksel. Dit willen de Gentenaren niet betalen! https://t.co/KkPKdyfRKM
847689485059936257,De personen onder en boven deze tweet willen graag een keer aanwezig zijn bij een tv programma
847689511920254976,De metro-ingang bij CS is weer open https://t.co/8iiCNtm9s7
847689533311172608,"#TunnelBru, vertraagd verkeer in de Reyers-Montgomerytunnel richting Montgomery"
847689619713818624,RT @grijpend: Het was vanmorgen net alsof ik in de scène van Lion King was #sunset #lionking #circleoflive #disney #nederland https://t.co/…
847689705680392193,Responsabiliseren begint aan de basis #luxeverzuim
847689724135227396,Aandeelhouders Randstad stemmen in met alle agendapunten https://t.co/kadGxahzGD
847689740505595904,@WIS_KeesJan is een gevaarlijk punt daar ja. Hogelijk komt er een goede oplossing
