tweet_id,tweet_text
836257378748219392,Vou ter q repapiar o motor do jetta ai vai pra 220 cavalos
836257382938312706,@claudinmagrin71 calma kkkk
836257387124248577,@imjavbum xenofóbica pq n gosto de k pop e seus fãs KKKKKKK PQP
836257391326932992,"RT @Psiqueatra: A gente só conhece aquilo que as pessoas permitem. No interior de cada pessoa que você conhece, existe uma pessoa que você…"
836257395525431296,"@sooniaingrid nunca fui não, mas uns amigos já foram e gostaram bastante. E ele é bom de verdade, não é só fama"
836257395508674560,é tudo culpa do carnaval https://t.co/C1HJ8LQys2
836257403905716224,Quero beber
836257403901464576,"""Viver a Música"""
836257424868782082,Gotham é...
836257429092462593,@Fiamafariass mentirosa
836257433282564097,"RT @fifthtraducao: Aquele orgulho diário de ser fã de Lauren Jauregui.   #Harmonizers  #BestFanArmy  #iHeartAwards https://t.co/0Fh5knr4Ei"
836257454254133249,quando eu morar com o moreno vai ser assim https://t.co/QeUSINnFPJ
836257454262480897,"#FLIGHTLOGARRIVAL  Na Água https://t.co/KbQnLKsNoW"
836257521362927616,"RT @brunatang: Daniel nao faz bosta nenhuma ali dentro....Quero antagonistas de peso, quero contrariedades, quero equilibrio de jogo. FICA…"
836257521350426625,"@danilotetra em Percy Jackson tem ""a névoa""; em mochileiro das galáxias, ""problema dos outros"" e assim por diante"
836257525548912642,RT @otariano: amo gente que consegue acompanhar meu raciocínio nada lógico
836257559111745541,RT @gabiefernandes: EU QRO SER PRINCESA PRA SEMPRE https://t.co/FFLH1dKaxs
836257596872982530,RT @gilabertee: to bolada
836257601042120704,"RT @fifthtraducao: Ahhhh obrigada fav ♥ maravilhosa é tu 😍😍  #Harmonizers  #BestFanArmy  #iHeartAwards https://t.co/Bj8yTguZij"
836257605261611009,comprovado que isso ira salvar seu dia https://t.co/1MmmTbfGqb
836257605232250880,Ngm estava mais feliz que eu akakkaak
836257634609217538,@tswizuyu Não sei se eu sou esperto ou idiota então
836257638807654402,RT @gamedinas: Falo que não aguento mais beber e no segundo seguinte já tô colocando a catuaba no gelo
836257638807662592,"RT @realitybrasill: 2° Desafio:  A cada RT vou dar mais 5 votos #ForaElis #BBB17"
836257655559766017,RT @alenycastilho: Tô precisando daquele hidratante labial chamado beijo na boca
836257655593308160,RT @whindersson: Gravei vídeo novo mas não gostei vou gravar de novo hoje
836257663969177600,Novo relatório da GSMA destaca sistema de mensagens como oportunidade para plataforma https://t.co/TvyjMA34mS https://t.co/BuouNHbBoc
836257676531216386,RT @breaktudo: Enquete: Qual ex-BBB 16 você acha que tem mais relevância na mídia atualmente? Vote! https://t.co/VmCuzNYZcJ #bbb17 #REDEbbb
836257676535410690,RT @BestofCoolCars: Audi RS6 https://t.co/AxsajGU9Se
836257684945059840,@juliahammoud kkkkkkkk q isso fingi mt bem mas quando eu cheguei em casa desabei juro tava malzona
836257684915646470,RT @maartaagomees: Só eu é que ainda não tive um upgrade assim https://t.co/PSdYUeoQx2
836257693325275136,@DemiVts um AMEM DEMETRIA #Lovatics #BestFanArmy #iHeartAwards
836257693337796609,Gostei de um vídeo @YouTube de @brunavieira https://t.co/QB2NvoIU0d Transição capilar - o que mudou até aqui #3
836257705887162368,"Manda cooler hj a noite e faz festinha de Carnaval @BBB @TiagoLeifert  Essa casa ta mto morta! Esse povo so sabe dormir e jogar golpinho"
836257705912315905,acabei tchau — xau https://t.co/OIdj9kvsJj
836257705887162371,"acordei com um ovo enorme no joelho, e ta doendo mt mds"
836257710110818304,@espairecida legendas para instagram
836257718478454784,RT @lmjfuckl: @drewnotrust perdoa aquele vácuo na dm ksksks https://t.co/5D3W1jKOBC
836257735285043205,"Pqp, se eu estivesse visto o Filipe lá em cima do palco, eu teria filmado. Papo reto"
836257739466813441,"hj tem balança meu Catete heinnnmnn, e aí fala vcsssss"
836257752041287681,acho que sou a unica pessoa que nao ta nem ai pra carnaval
836257752058052608,"RT @BieberNovidade: Fotos do Justin Bieber avistado em Los Angeles, Califórnia ontem à noite. https://t.co/XUf1rSxyx0"
836257756222910464,"RT @qh1wns1: #선릉풀사롱 #매직미러 #플레이 #선릉야구장 #텐프로 OIO★8787★OI66 #화곡동룸싸롱 #압구정풀싸롱 #서초풀싸롱 #강남룸 #강남역풀싸롱 ※https://t.co/NeaJRLnzgD※ https://t.co/D8AMMx0…"
836257756239826944,@larissamrtnss aumentou dnv?? anão po assim n da
836257768814301184,"Procurei, encontrei, meu amor, minha cara metade 😍"
836257789773246464,Amanhã vou avacalhar
836257789798412292,@CPlayerr tirou 10
836257793988505600,"@marinaja_ bom mesmo u.u meu, eu so dou risada das coisas que saem da nossa boca"
836257793971732480,@alicwzinhs que vergonha o q
836257793967521792,eu ameeei essa foto https://t.co/mkpa17fuLw
836257798161825792,eu to tão suave !! ^-^
836257798191206400,"RT @TomH_Brasil: Perdi o Oscar, mas, to rindo muito dos memes, brasileiro é um povo criativo demais. kkkkk 😂 https://t.co/5RawjWCtqI"
836257806571429889,"Fics Camren são tão boas que vc consegue se iludir ao extremo   THATS MY IHEART #Harmonizers #BestFanArmy #iHeartAwards"
836257806567227392,"RT @Aguinaldinho: pedro: você pensou na possibilidade de sair daqui como vilã? elis: adoraria  um ícone desses não pode sair agora.… "
836257806558834688,"@PRI_EDOMEX @AlejandraDMV @AlanGutiDelRio  @sae_pri_edomex  @YAZMINRD  @VJAEdomex  presente #actitudvja"
836257810765778944,QUE. FOTO. LINDA. https://t.co/npM1ROlfGN
836257814955896833,RT @inspirou: A verdade é que nem eu sei mais o que quero. Me perdi nas minhas próprias vontades.
836257823356964864,"tem nove anos que esse personagem secundário sumiu e fizeram muita questão de botar esse mesmo médico com esse mesmo ator incrível"
836257840121724928,"RT @stylinsonyear: (@harrystores) 1- você me fez passar vontade aquele dia com o biscoito de polvilho, mas eu te perdoo totalmente se você…"
836257856903122945,"RT @SeriesOficialBr: ""Eu sei que parece loucura, mas o mundo ficou louco."" — The Walking Dead"
836257873680297985,"“Mas Jesus retirava-se para lugares solitários, e orava.” - Lucas 5:16. (via restarei) https://t.co/UppeCc1t6Y"
836257882068905987,"RT @forumpandlr: Bloco com presença da soberana da internet é um sucesso enquanto certas youtubers gritam e choram.… "
836257886263214080,"RT @Vtfbrito: Acho que nem é preciso uma grande descrição, a imagem ""fala"" por si https://t.co/D8O53n0xmc"
836257890474340352,"RT @Juliaavilas: Perdi o Oscar, mas tudo bem La La Land também perdeu #oscarsfail"
836257894668599298,@Flamengo esse cara ai q esta caído e um otário msm eles sempre vao cair
836257915623309312,"RT @umfaIsopoeta: Vem cá, me bagunça, me irrita, me completa."
836257915635916804,"I'm at Bairro Califórnia in Nova Iguaçu, RJ https://t.co/PqYTJjYAis"
836257924003540992,@SciutoJauregui Sagitario e vc? kkkkkk
836257924024578048,RT @feelmegwmez: 41. ficar se perguntando o q se passa na cabeça de outras pessoas sobre vc
836257928202043396,Tô querendo ir pra maricá mais n posso 😞
836257928189476865,RT @SentiteTocada: Prioridades. https://t.co/4NIBixR9oF
